구분,일정 시작일,일정 종료일,일정제목,작성일
1,2015-10-03,2015-10-03,제130회 천체관 음악회,2015-09-30
2,2016-01-06,2016-02-28,"향초&석고공예 특별전시회 ""香에 녹는 시간""",2016-01-05
3,2016-03-05,2016-03-05,제138회  천체관 음악회,2016-03-02
4,2016-04-16,2016-04-16,과학기술인 숲향기길 걷기 축제,2016-04-07
5,2016-09-06,2016-09-26,2016 대한민국 산업기술 R&D 대전 서포터즈 모집,2016-09-12
6,2017-06-24,2017-06-24,"따뜻한 과학마을 ""벽돌 한장"" 찾아가는 과학강연",2017-06-22
7,2018-04-10,2018-04-10,"따뜻한 과학마을 벽돌한장""뇌:나와 너와 우리의 네트워크""",2018-03-20
8,2013-09-25,2013-09-25,'제1기 문화예술 최고지도자과정' 입학식,2013-09-27
9,2013-10-17,2013-10-17,2013년도 한국해양공학회 추계학술대회,2013-10-02
10,2013-10-05,2013-10-05,제92회 별이 있는 음악여행,2013-10-02
11,2013-09-26,2013-09-26,북극항로포럼 창립 워크숍,2013-09-27
12,2013-09-30,2013-09-30,2013 CEO/CTO 서포터즈 교류회·예비여성과학기술인 PR발표회,2013-09-27
13,2013-09-11,2013-09-11,제7회 세계해양포럼,2013-09-09
14,2013-10-22,2013-10-22,KORMARINE 2013,2013-09-27
15,2013-09-04,2013-09-04,LNG벙커링 산업육성을 위한 워크숍,2013-09-03
16,2013-09-25,2013-09-25,IT Expo Busan 2013 개최,2013-09-06
17,2013-08-28,2013-08-28,[한국선급] 기자재업체 대상 해양플랜트 교육,2013-08-19
18,2013-09-16,2013-09-16,2013년도 하반기 연구개발특구육성사업 접수마감,2013-08-12
19,2013-09-02,2013-09-02,2013년도 기술경영애로해결지원사업 수혜기업 2차 접수시작,2013-08-12
20,2013-11-29,2013-11-29,2013년도 기술경영애로지원사업 수혜기업 접수마감,2013-08-12
21,2013-08-09,2013-08-09,부산연구개발특구 출범 100일,2013-08-12
22,2013-08-07,2013-08-07,2013년도 하반기 연구개발특구육성사업 공고,2013-08-12
23,2013-10-22,2013-10-22,[한국마린엔지니어링학회] 2013년 후기학술대회,2013-08-12
24,2013-10-20,2013-10-20,PRADS 2013,2013-08-06
25,2013-08-14,2013-08-14,과학기술인 협동조합 찾아가는 교육,2013-08-09
26,2013-08-27,2013-08-27,2013 조선해양 대표 바이어 초청 수출 상담회,2013-08-06
27,2013-07-15,2013-07-15,연구개발특구진흥재단 정규직 채용공고 마감,2013-08-02
28,2013-08-16,2013-08-16,이노폴리스캠퍼스 접수마감,2013-08-02
29,2013-08-19,2013-08-19,선박 해양플랜트 설계 및 제작에 관한 최신구조기술 워크숍,2013-08-02
30,2013-08-05,2013-08-05,해양플랜트 전문인력 양성과정 교육,2013-08-02
31,2013-08-08,2013-08-08,ETRI 부산 사업설명회,2013-08-02
32,2013-07-17,2013-07-17,이노폴리스캠퍼스 공고,2013-08-02
33,2013-07-18,2013-07-18,대·중·소 상생협력 해양플랜트 고기능 밸브 국산화 설명회,2013-07-23
34,2013-07-25,2013-07-25,조선해양기자재 해외진출 전략 설명회,2013-07-23
35,2013-07-22,2013-07-22,조선해양플랜트 정책 세미나,2013-07-15
36,2013-07-04,2013-07-04,2013 한국과학기술인연차대회,2013-06-18
37,2013-06-21,2013-06-21,제2회 부산수산정책포럼,2013-06-20
38,2013-06-28,2013-06-28,2013 울산조선해양축제,2013-06-24
39,2013-07-05,2013-07-05,2013 한국과학기술인연차대회,2013-07-11
40,2013-07-05,2013-07-05,부산특구 산학연 대표단 간담회,2013-07-11
41,2013-06-17,2013-06-17,국민과학포럼 제1차 포럼 개최,2013-06-14
42,2013-06-18,2013-06-18,2013년도 중소기업 기술혁신개발사업 혁신기업기술개발 개최,2013-06-13
43,2013-06-20,2013-06-20,13년도 해양플랜트 설계연구회 춘계 워크샵,2013-06-14
44,2013-06-11,2013-06-11,2013 환동해 국제해양포럼 개최,2013-06-11
