연번,업체명,업체주소,연락처
1,늘채움,전북 전주시 덕진구 덕진연못3길 6,
2,대림동삼거리먼지막순대국,서울 영등포구 시흥대로 185길 11,
3,만석장,서울 은평구 대서문길 43-10 2층,
4,선천집,서울 종로구 인사동  14길5,
5,스미센,대구 동구 동부로30길 15,
6,와우,"서울 마포구 와우산로37길 11, 1층(동교동)",
7,정우상사,"서울 종로구 창경궁로 109, 1043호",
8,제일스포츠,전북 정읍시 중앙로 83,
9,㈜백년가게국제의료기,대구 달서구 성당로 273,
10,진미양념통닭,강원 원주 우산로 66,
11,탑외국어사(이엘티존),전북 전주시 완산구 화산천변로 9 102호,
12,협신전자,부산 부산진구 전포대로 223번길 16,
13,형제상회,서울 은평구 서오릉로 254-3,
14,화성갈비,경남 창원시 마산합포구 오동서7길 38,
15,백초당한약방,대구 중구 장관동 55,
16,부산복집,서울 중구 수표로2길 25,
17,불로식당,경남 창원시 마산합포구 동성동 153,
18,쉐라미,부산 사하구 낙동대로 238,
19,옥수굴비,전남 영광군 법성 459,
20,외바우,경북 경주시 안강읍 산대리 2402-6,
21,장군식당,서울시 노원구 월계동 51-6호(화랑로 43가길 27),
22,청신한약방,대구 중구 남성로 16-1,
23,하나로회관,서울 종로구 인사동5길25,
24,향원복집,제주 서귀포시 부두로43,
25,공원당,충북 청주시 상당구 상당로 55번길 40-2,
26,대동관,충북 청주시 청원구 내수로 733,
27,동래할매파전,부산 동래구 명륜로 94번길 43-10,
28,재건갈비,충북 청주시 서원구 청남로 2104,
29,제천식육점,"충북 제천시 중앙로1가74 중앙시장 지하 14,16",
30,철원막국수,강원 철원군 갈말읍 명성로 158번길 13,
31,나드리,경북 영주시 중앙로 89,
32,남주동해장국,충북 청주시 상당구 무심동로304번길 10(남주동),
33,동승춘,강원 삼척시 대학로 12,
34,동신위생도기,대전 대덕구 비래동 119-1,
35,딴뚝통나무집식당,충남 태안군 안면읍 조운막터길 23-22,
36,민들레,광주 서구 상무평화로 137(치평동),
37,신화당분식,청주시 상당구 대성로22번길 5-1(석교동),
38,언양한우불고기,울산 울주군 언양읍 서부리 58-3,
39,진주회관본관,"충남 천안시 서북구 성환읍 성환11길 15, 1층",
40,큰댁,충남 천안시 서북구 서정중4길 30,
41,한도안전상사,대전 대덕구 오정동 78-2,
42,(신)대원옥,"경기 수원 팔달구 정조로800번길 6-3, 1층",
43,77돌곱창,부산 사상구 괘감로 98(감전동),
44,고려화문석,"인천 강화군 강화읍 중앙로 17-9, 풍물시장 2층 2086호",
45,금메달,전남 목포시 후광대로 143번길 8,
46,금수장장어구이,충북 청주시 서원구 현도면 청남로 16,
47,금화상회,"경기 수원 팔달구 수원천로255번길 6, 영동시장 17",
48,단골집,충북 진천군 초평면 초평로 1053,
49,대한서림,전북 익산시 익산대로16길 26,
50,동신명가,서울 서초구 반포대로28길 31(서초동) 1층 석천빌딩,
51,동아서점,강원 속초시 수복로 108,
52,"동아의료보조기,보청기",경북 안동시 서동문로 68-1,
53,메바우명가춘천막국수,강원 춘천시 당간지주길 76,
54,부영선지국,인천 미추홀구 장천로 14번길 20,
55,새만포면옥,"서울 은평구 연서로 171(갈현동. 동연빌딩 1,2층)",
56,송애집,충북 진천군 초평면 초평로 1053-5,
57,신안촌,서울 종로구 사직로 12길8,
58,주식회사 안일옥,경기 안성시 중앙로 411번길 20(영동),
59,알미골,"인천 강화군 강화읍 강화대로 334(199-7,8)",
60,영빈관,"충북 음성군 음성읍 시장로115번길 5,112호",
61,일송면옥,부산 금정구 부곡로 141번길 6,
62,주식회사 경덕농수산,"전남 순천시 역전장1길 53, 2층",
63,죽도집,부산 기장군 기장읍 연화리 112 15/1,
64,지동관,경기 의정부시 의정부동 196-14,
65,진미식당,전북 익산시 황등면 황등로158,
66,창성옥,서울 용산구 새창로 124-10,
67,청해진,"서울 강동구 강동대로 187,102호(성내동, 파크뷰캐슬)",
68,큰마을영양굴밥,충남 서산시 부석면 간월도 1길 65,
69,풍미통닭,전남 순천시 성남뒷길3,
70,한국밸브상사,"부산 영도구 대평로 16, 상가 1동 4호(대평동1가, 대동대교아파트)",
71,함흥냉면옥,강원 속초시 청초호반로 299,
72,88완당집,"부산 해운대구 윗반송로31번길 113-17(반송동, 외 2필지)",
73,개미집 본점,부산 중구 중구로30번길 20-2(신창동1가),
74,경동수산,경북 포항시 북구 죽도시장13길 7-2,
75,구백식당,전남 여수시 여객선터미널길 18,
76,남문소리사,전북 전주시 완산구 풍남문1길 19,
77,남한산성은행나무집,경기 광주시 남한산성면 남한산성로 772,
78,뉴욕제과,강원 속초시 교동로 19(교동),
79,도지골등나무집,강원 춘천시 신북읍 상천3길 2,
80,동양직물,"서울 종로구 창경궁로 88(예지동, 마구)",
81,마방(마일드치킨),충남 서산시 번화1로 41-1(동문동),
82,무진장갈비촌,전북 익산시 선화로 31길58,
83,미진과자점,경남 창원시 진해구 충장로130(충무동),
